Designator,Mid X,Mid Y,Rotation,Layer
C1_4,167.0,-107.75,90.0,top
C1_3,117.0,-107.75,90.0,top
C1_2,167.0,-57.75,90.0,top
C1,117.0,-57.75,90.0,top
C2_4,184.0,-108.0,270.0,top
C2_3,134.0,-108.0,270.0,top
C2_2,184.0,-58.0,270.0,top
C2,134.0,-58.0,270.0,top
D1_4,155.27,-104.0,0.0,top
D1_3,105.27,-104.0,0.0,top
D1_2,155.27,-54.0,0.0,top
D1,105.27,-54.0,0.0,top
D10_4,194.73,-144.0,180.0,top
D10_3,144.73,-144.0,180.0,top
D10_2,194.73,-94.0,180.0,top
D10,144.73,-94.0,180.0,top
D2_4,155.27,-111.0,0.0,top
D2_3,105.27,-111.0,0.0,top
D2_2,155.27,-61.0,0.0,top
D2,105.27,-61.0,0.0,top
D3_4,155.27,-125.0,0.0,top
D3_3,105.27,-125.0,0.0,top
D3_2,155.27,-75.0,0.0,top
D3,105.27,-75.0,0.0,top
D4_4,155.27,-132.0,0.0,top
D4_3,105.27,-132.0,0.0,top
D4_2,155.27,-82.0,0.0,top
D4,105.27,-82.0,0.0,top
D5_4,155.27,-144.0,0.0,top
D5_3,105.27,-144.0,0.0,top
D5_2,155.27,-94.0,0.0,top
D5,105.27,-94.0,0.0,top
D6_4,194.73,-104.0,180.0,top
D6_3,144.73,-104.0,180.0,top
D6_2,194.73,-54.0,180.0,top
D6,144.73,-54.0,180.0,top
D7_4,194.73,-111.0,180.0,top
D7_3,144.73,-111.0,180.0,top
D7_2,194.73,-61.0,180.0,top
D7,144.73,-61.0,180.0,top
D8_4,194.73,-125.0,180.0,top
D8_3,144.73,-125.0,180.0,top
D8_2,194.73,-75.0,180.0,top
D8,144.73,-75.0,180.0,top
D9_4,194.73,-132.0,180.0,top
D9_3,144.73,-132.0,180.0,top
D9_2,194.73,-82.0,180.0,top
D9,144.73,-82.0,180.0,top
J1,137.73,-52.0,90.0,top
R1_4,165.81,-143.0,0.0,top
R1_3,115.81,-143.0,0.0,top
R1_2,165.81,-93.0,0.0,top
R1,115.81,-93.0,0.0,top
R2_4,176.19,-148.0,0.0,top
R2_3,126.19,-148.0,0.0,top
R2_2,176.19,-98.0,0.0,top
R2,126.19,-98.0,0.0,top
RV1_4,176.31,-143.1125,0.0,top
RV1_3,126.31,-143.1125,0.0,top
RV1_2,176.31,-93.1125,0.0,top
RV1,126.31,-93.1125,0.0,top
U1_4,176.0,-128.0,90.0,top
U1_3,126.0,-128.0,90.0,top
U1_2,176.0,-78.0,90.0,top
U1,126.0,-78.0,90.0,top
U2_4,176.0,-109.0,90.0,top
U2_3,126.0,-109.0,90.0,top
U2_2,176.0,-59.0,90.0,top
U2,126.0,-59.0,90.0,top
